id,date,handle,url,text
1,2026-08-03,mudpie_mel,https://clayboard.example/t/announce-firings/1,"Starting this thread because we're shopping for scheduling apps. Firelane wants $79/mo and we're 25 people. Bisqueline charges per head. Anyone found something a small co-op can afford?"
2,2026-08-03,shelfspace_sara,https://clayboard.example/t/announce-firings/2,"We use Bisqueline for booking wheels but the firing calendar is just a calendar. Doesn't tell you if the kiln has room, so people still show up with work and get turned away."
3,2026-08-04,pyrometer_paul,https://clayboard.example/t/announce-firings/3,"Whiteboard, honestly. We tried app alerts and they went out after the tech loaded because that's when she has time to type it in. Members got mad."
4,2026-08-04,wedgingwendy,https://clayboard.example/t/announce-firings/4,"Our members' number one question is 'did my stuff get fired'. No app we've tried answers that without the manager logging every piece, which nobody does."
5,2026-08-05,mudpie_mel,https://clayboard.example/t/announce-firings/5,"Replying to myself: Bisqueline quoted us $60 minimum, so that's $60 for 25 people either way. Still a lot for a volunteer-run studio."
6,2026-08-06,kiln_karl,https://clayboard.example/t/announce-firings/6,"Same as Sara. The calendar shows the firing, not the capacity. I'd pay for 'there are 2 shelves left'."
7,2026-08-07,studio_dan_mgr,https://clayboard.example/t/announce-firings/7,"Manager here. Honestly members don't read the app OR the board. I text the regulars myself. The tool isn't the problem, attention is."
8,2026-08-08,coilqueen,https://clayboard.example/t/announce-firings/8,"Firelane texts arrive after loading at our place too. It's not the app, it's when the manager posts. But the app should stop you posting a firing that's already happened."
9,2026-08-09,slipcast_sam,https://clayboard.example/t/announce-firings/9,"Second the capacity thing. Booking a shelf that turns out not to exist is worse than no booking."
10,2026-08-11,earthenjo,https://clayboard.example/t/announce-firings/10,"The status problem is real. 'Loaded' then nothing. I still walk over to check the shelf."
11,2026-08-13,handbuilt_hana,https://clayboard.example/t/announce-firings/11,"We turned notifications off after too many came the morning after. Now we're back to the group chat."
12,2026-08-15,wheelhead_wes,https://clayboard.example/t/announce-firings/12,"Price is the blocker for us. Two tiers and the cheap one doesn't do texts."
13,2026-08-18,raku_rae,https://clayboard.example/t/announce-firings/13,"Anyone tried just a shared Google Calendar? Free, and members already have it."
14,2026-08-20,pinchpot_pat,https://clayboard.example/t/announce-firings/14,"Google Cal works until someone needs to reserve space. Then you're back to paying, and the per-member ones get expensive fast."
