id,date,rating,handle,url,text
1,2026-08-29,2,glaze_gremlin,https://apps.example/firelane/review/8811,"Crashes every time I open the shelf page on my Pixel. Reinstalled twice. Works fine on my partner's iPhone apparently."
2,2026-08-28,1,mudpie_mel,https://apps.example/firelane/review/8804,"The text about the firing came at 9pm. The kiln was loaded at 6. What is the point."
3,2026-08-27,3,slipcast_sam,https://apps.example/firelane/review/8797,"Decent for booking but I still can't tell if my bowls actually went in. Status says 'loaded' for three days now."
4,2026-08-26,2,kiln_karl,https://apps.example/firelane/review/8790,"Reserved a shelf, turned up, kiln was already full. Nothing in the app said it was full."
5,2026-08-24,1,ravenclay,https://apps.example/firelane/review/8781,"Notifications arrive AFTER the load deadline. Every single time. Missed two glaze firings this month because of it."
6,2026-08-23,2,potsbypri,https://apps.example/firelane/review/8776,"Our studio dropped it because $79 a month for 22 members didn't make sense. Shame, the schedule bit was nice."
7,2026-08-22,1,wheelhead_wes,https://apps.example/firelane/review/8770,"Login loop on Android. Enter password, spinner, back to login. Support said to update, I'm on the latest."
8,2026-08-21,3,earthenjo,https://apps.example/firelane/review/8763,"I like seeing the firing calendar but there's no way to see how much shelf space is left so I just message the tech anyway."
9,2026-08-20,2,coilqueen,https://apps.example/firelane/review/8757,"Firing alert showed up the morning after. My mugs sat unfired for two more weeks."
10,2026-08-19,5,thrownbytom,https://apps.example/firelane/review/8749,"Our manager posts firings a week ahead and the texts are spot on. Haven't missed one since we switched. Five stars."
11,2026-08-18,1,bisquebecca,https://apps.example/firelane/review/8742,"Android app is unusable. Freezes on the reservations screen."
12,2026-08-16,2,stonewareSteph,https://apps.example/firelane/review/8735,"Would love to know before I drive over whether there's actually room in the kiln. The app doesn't say."
13,2026-08-15,1,greenware_gus,https://apps.example/firelane/review/8729,"Got the text after loading AND it didn't show the kiln was full. Two problems one app."
14,2026-08-13,3,pinchpot_pat,https://apps.example/firelane/review/8721,"Works but pricing jumps to $149 just to get texts. Small studios can't justify that."
15,2026-08-12,2,celadon_cee,https://apps.example/firelane/review/8716,"No idea if my piece got fired. 'Loaded' isn't the same as fired. Had to ask in the group chat like before."
16,2026-08-10,1,raku_rae,https://apps.example/firelane/review/8708,"Crashes on open. Samsung S23."
17,2026-08-09,2,handbuilt_hana,https://apps.example/firelane/review/8701,"The firing email came at 11pm for a 7am load. Nobody checks email at 11pm."
18,2026-08-07,4,trimmingtina,https://apps.example/firelane/review/8694,"Reservations work well and the ready-to-collect ping is great. Wish the calendar showed more than one kiln."
19,2026-08-05,2,ashglaze_al,https://apps.example/firelane/review/8688,"Booked a spot, no indication the shelf was already oversubscribed, piece didn't go in."
20,2026-08-04,1,slabroller_sue,https://apps.example/firelane/review/8681,"Late notifications, again. Third review I've left about this."
21,2026-08-02,3,kilnsitter_kai,https://apps.example/firelane/review/8675,"Fine for what it is but per-studio pricing means our 18-person co-op pays the same as a 100-member studio."
22,2026-08-01,1,underglaze_uma,https://apps.example/firelane/review/8669,"Won't stay logged in on Android. Every open is a login."
